Variable,Fear of failure,Fear of failure.1,r2,Home educational resources,Home educational resources.1,Home possessions,Home possessions.1,Cultural possessions,Cultural possessions.1,ESCS,ESCS.1,ICT resources,ICT resources.1,Understanding and remembering,Understanding and remembering.1,Assessing credibility,Assessing credibility.1,Wealth,Wealth.1,Perceived feedback,Perceived feedback.1,Parents’ emotional support,Parents’ emotional support.1,Positive feelings,Positive feelings.1,Perception of difficulty,Perception of difficulty.1,Adaptive instruction,Adaptive instruction.1,Motivation to master tasks,Motivation to master tasks.1,Perception of competence,Perception of competence.1,Teacher enthusiasm,Teacher enthusiasm.1,Disciplinary climate,Disciplinary climate.1,Self-efficacy,Self-efficacy.1,Value of school,Value of school.1,Stimulation of reading engagement,Stimulation of reading engagement.1,Enjoyment of reading,Enjoyment of reading.1,Meaning in life,Meaning in life.1,Attitudes towards competition,Attitudes towards competition.1,Learning goals,Learning goals.1,Teacher-directed instruction,Teacher-directed instruction.1,Teacher support,Teacher support.1,female,female.1
Reading,-4.03,1.23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.08,19.52,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.09,,,24.07,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.01,,,,,15.83,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.12,,,,,,,23.92,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.08,,,,,,,,,20.85,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.08,,,,,,,,,,,24.62,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.09,,,,,,,,,,,,,26.10,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.05,,,,,,,,,,,,,,,15.24,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.01,,,,,,,,,,,,,,,,,-5.75,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.11,,,,,,,,,,,,,,,,,,,25.82,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.07,,,,,,,,,,,,,,,,,,,,,19.44,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.08,,,,,,,,,,,,,,,,,,,,,,,-24.56,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,13.50,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,22.08,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.20,1.39,,,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15,1.90,,,,,,,,,,,,,,,,,,,,,,
Reading,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,1.74,,,,,,,,,,,,,,,,,,,,
Reading,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.85,1.34,,,,,,,,,,,,,,,,,,
Reading,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.32,1.79,,,,,,,,,,,,,,,,
Reading,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78,1.57,,,,,,,,,,,,,,
Reading,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.09,1.64,,,,,,,,,,,,
Reading,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.85,1.71,,,,,,,,,,
Reading,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.71,1.65,,,,,,,,
Reading,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,1.60,,,,,,
Reading,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.62,1.74,,,,
Reading,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.63,1.98,,
Reading,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.32,4.47
Reading,-2.98,1.18,0.09,19.22,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-2.84,1.16,0.09,,,23.54,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-3.91,1.25,0.01,,,,,17.64,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-3.48,1.18,0.11,,,,,,,23.30,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-3.64,1.16,0.08,,,,,,,,,20.25,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-2.89,1.23,0.08,,,,,,,,,,,24.39,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-3.48,1.19,0.09,,,,,,,,,,,,,25.61,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-3.80,1.18,0.05,,,,,,,,,,,,,,,14.24,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-4.03,1.23,0.01,,,,,,,,,,,,,,,,,-6.14,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-3.24,1.28,0.1,,,,,,,,,,,,,,,,,,,24.88,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-2.37,1.25,0.06,,,,,,,,,,,,,,,,,,,,,18.68,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,0.64,1.29,0.08,,,,,,,,,,,,,,,,,,,,,,,-24.56,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-3.55,1.26,0.03,,,,,,,,,,,,,,,,,,,,,,,,,13.03,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-4.94,1.27,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,21.98,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-2.72,1.23,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.78,1.40,,,,,,,,,,,,,,,,,,,,,,,,
Reading,-3.97,1.25,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,1.88,,,,,,,,,,,,,,,,,,,,,,
Reading,-3.89,1.23,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,1.68,,,,,,,,,,,,,,,,,,,,
Reading,-3.19,1.34,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.22,1.28,,,,,,,,,,,,,,,,,,
Reading,-3.78,1.17,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,1.77,,,,,,,,,,,,,,,,
Reading,-4.08,1.23,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23,1.60,,,,,,,,,,,,,,
Reading,-1.65,1.21,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.52,1.61,,,,,,,,,,,,
Reading,-4.31,1.30,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.28,1.65,,,,,,,,,,
Reading,-5.82,1.20,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.53,1.53,,,,,,,,
Reading,-5.26,1.30,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84,1.59,,,,,,
Reading,-4.22,1.23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.17,1.71,,,,
Reading,-3.87,1.20,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04,1.99,,
