Variable,Fear of failure,Fear of failure.1,r2,Home educational resources,Home educational resources.1,Home possessions,Home possessions.1,ESCS,ESCS.1,ICT resources,ICT resources.1,Understanding and remembering,Understanding and remembering.1,Assessing credibility,Assessing credibility.1,Wealth,Wealth.1,Perceived feedback,Perceived feedback.1,Parents’ emotional support,Parents’ emotional support.1,Positive feelings,Positive feelings.1,Perception of difficulty,Perception of difficulty.1,Adaptive instruction,Adaptive instruction.1,Motivation to master tasks,Motivation to master tasks.1,Perception of competence,Perception of competence.1,Teacher enthusiasm,Teacher enthusiasm.1,Disciplinary climate,Disciplinary climate.1,Self-efficacy,Self-efficacy.1,Value of school,Value of school.1,Meaning in life,Meaning in life.1,Attitudes towards competition,Attitudes towards competition.1,Learning goals,Learning goals.1,Teacher-directed instruction,Teacher-directed instruction.1,Teacher support,Teacher support.1,female,female.1
Math,-2.71,1.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.06,15.27,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.07,,,19.11,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.11,,,,,21.51,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.06,,,,,,,17.01,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.06,,,,,,,,,19.98,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.06,,,,,,,,,,,20.69,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.04,,,,,,,,,,,,,12.22,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.0,,,,,,,,,,,,,,,-2.43,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.07,,,,,,,,,,,,,,,,,19.55,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.04,,,,,,,,,,,,,,,,,,,13.99,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.04,,,,,,,,,,,,,,,,,,,,,-17.03,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.03,,,,,,,,,,,,,,,,,,,,,,,12.30,1.66,,,,,,,,,,,,,,,,,,,,,,,,
Math,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,16.28,1.34,,,,,,,,,,,,,,,,,,,,,,
