Variable,Fear of failure,Fear of failure.1,r2,Home educational resources,Home educational resources.1,Home possessions,Home possessions.1,ESCS,ESCS.1,ICT resources,ICT resources.1,Understanding and remembering,Understanding and remembering.1,Assessing credibility,Assessing credibility.1,Wealth,Wealth.1,Perceived feedback,Perceived feedback.1,Parents’ emotional support,Parents’ emotional support.1,Positive feelings,Positive feelings.1,Perception of difficulty,Perception of difficulty.1,Adaptive instruction,Adaptive instruction.1,Motivation to master tasks,Motivation to master tasks.1,Perception of competence,Perception of competence.1,Teacher enthusiasm,Teacher enthusiasm.1,Disciplinary climate,Disciplinary climate.1,Self-efficacy,Self-efficacy.1,Value of school,Value of school.1,Meaning in life,Meaning in life.1,Attitudes towards competition,Attitudes towards competition.1,Learning goals,Learning goals.1,Teacher-directed instruction,Teacher-directed instruction.1,Teacher support,Teacher support.1,female,female.1
Science,-3.61,1.38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.06,15.87,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.07,,,20.11,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.11,,,,,21.78,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.06,,,,,,,17.36,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.07,,,,,,,,,22.51,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.08,,,,,,,,,,,24.00,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.04,,,,,,,,,,,,,12.10,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.0,,,,,,,,,,,,,,,-3.87,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.07,,,,,,,,,,,,,,,,,20.12,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.04,,,,,,,,,,,,,,,,,,,13.81,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.07,,,,,,,,,,,,,,,,,,,,,-21.36,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.02,,,,,,,,,,,,,,,,,,,,,,,11.43,1.48,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,17.39,1.39,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,18.41,1.55,,,,,,,,,,,,,,,,,,,,
Science,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,1.53,,,,,,,,,,,,,,,,,,
Science,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,1.75,,,,,,,,,,,,,,,,
Science,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.41,1.29,,,,,,,,,,,,,,
Science,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.87,2.03,,,,,,,,,,,,
Science,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84,1.60,,,,,,,,,,
Science,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.94,1.45,,,,,,,,
Science,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79,1.55,,,,,,
Science,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.14,1.58,,,,
Science,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99,1.79,,
Science,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.78,4.74
Science,-2.87,1.38,0.07,15.89,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,-2.64,1.35,0.08,,,20.06,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,-3.05,1.36,0.11,,,,,21.65,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,-3.29,1.34,0.06,,,,,,,17.24,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,-2.51,1.36,0.07,,,,,,,,,22.40,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,-2.90,1.31,0.08,,,,,,,,,,,23.67,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,-3.48,1.36,0.04,,,,,,,,,,,,,11.61,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,-3.51,1.38,0.01,,,,,,,,,,,,,,,-4.15,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,-2.92,1.36,0.07,,,,,,,,,,,,,,,,,19.48,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,-2.29,1.39,0.04,,,,,,,,,,,,,,,,,,,13.37,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,0.41,1.38,0.07,,,,,,,,,,,,,,,,,,,,,-21.46,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,-3.05,1.40,0.02,,,,,,,,,,,,,,,,,,,,,,,11.22,1.49,,,,,,,,,,,,,,,,,,,,,,,,
Science,-4.41,1.44,0.06,,,,,,,,,,,,,,,,,,,,,,,,,17.44,1.37,,,,,,,,,,,,,,,,,,,,,,
Science,-2.54,1.40,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,18.21,1.59,,,,,,,,,,,,,,,,,,,,
Science,-3.40,1.38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,1.54,,,,,,,,,,,,,,,,,,
Science,-3.45,1.38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,1.76,,,,,,,,,,,,,,,,
Science,-2.96,1.46,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,1.26,,,,,,,,,,,,,,
Science,-3.43,1.33,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.48,2.05,,,,,,,,,,,,
Science,-3.72,1.44,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.44,1.58,,,,,,,,,,
Science,-5.05,1.37,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,1.39,,,,,,,,
Science,-4.57,1.39,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.01,1.54,,,,,,
Science,-3.81,1.39,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.58,1.59,,,,
Science,-3.43,1.37,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,1.83,,
Science,-2.12,1.34,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.24,4.64
Science,,,0.09,4.08,1.95,17.84,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.12,5.73,1.51,,,19.17,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.08,9.69,1.60,,,,,12.18,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.13,14.84,1.64,,,,,,,20.35,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.14,14.93,1.57,,,,,,,,,22.08,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.07,12.91,1.63,,,,,,,,,,,6.44,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.07,16.27,1.70,,,,,,,,,,,,,-4.33,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.11,12.16,1.67,,,,,,,,,,,,,,,16.42,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.09,14.71,1.69,,,,,,,,,,,,,,,,,10.90,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.12,14.57,1.66,,,,,,,,,,,,,,,,,,,-19.73,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.08,15.40,1.76,,,,,,,,,,,,,,,,,,,,,9.53,1.49,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.1,13.94,1.67,,,,,,,,,,,,,,,,,,,,,,,14.45,1.30,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.1,13.83,1.70,,,,,,,,,,,,,,,,,,,,,,,,,15.64,1.59,,,,,,,,,,,,,,,,,,,,
Science,,,0.06,15.98,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.42,,,,,,,,,,,,,,,,,,
Science,,,0.06,15.71,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,1.70,,,,,,,,,,,,,,,,
Science,,,0.1,13.65,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.40,1.28,,,,,,,,,,,,,,
Science,,,0.08,14.64,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.81,1.86,,,,,,,,,,,,
Science,,,0.09,14.80,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.71,1.58,,,,,,,,,,
Science,,,0.1,14.52,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.53,1.41,,,,,,,,
Science,,,0.08,14.69,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.46,1.48,,,,,,
Science,,,0.07,16.49,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.04,1.53,,,,
Science,,,0.07,15.73,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,1.76,,
Science,,,0.08,14.59,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.12,4.50
Science,,,0.11,,,7.37,1.85,17.20,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.08,,,16.84,2.71,,,3.77,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.14,,,18.86,1.80,,,,,20.35,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.14,,,18.68,1.75,,,,,,,21.54,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.08,,,31.04,2.99,,,,,,,,,-10.87,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.08,,,20.67,1.98,,,,,,,,,,,-4.28,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.12,,,16.11,1.87,,,,,,,,,,,,,16.07,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.1,,,19.04,1.96,,,,,,,,,,,,,,,10.76,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.13,,,18.64,1.88,,,,,,,,,,,,,,,,,-19.09,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.09,,,19.97,2.04,,,,,,,,,,,,,,,,,,,9.72,1.41,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.12,,,18.12,1.87,,,,,,,,,,,,,,,,,,,,,14.41,1.30,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.11,,,17.59,1.94,,,,,,,,,,,,,,,,,,,,,,,14.91,1.54,,,,,,,,,,,,,,,,,,,,
Science,,,0.08,,,20.37,2.00,,,,,,,,,,,,,,,,,,,,,,,,,2.16,1.35,,,,,,,,,,,,,,,,,,
Science,,,0.08,,,20.33,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,1.57,,,,,,,,,,,,,,,,
Science,,,0.11,,,17.37,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96,1.29,,,,,,,,,,,,,,
Science,,,0.09,,,18.78,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84,1.89,,,,,,,,,,,,
Science,,,0.1,,,18.85,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.56,1.60,,,,,,,,,,
Science,,,0.11,,,18.37,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.22,1.36,,,,,,,,
Science,,,0.1,,,19.06,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.73,1.51,,,,,,
Science,,,0.08,,,20.57,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.06,1.48,,,,
Science,,,0.08,,,20.22,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,1.63,,
Science,,,0.1,,,18.97,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.79,4.44
Science,,,0.12,,,,,18.45,1.72,6.27,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.17,,,,,20.41,1.72,,,19.42,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.17,,,,,20.00,1.61,,,,,20.17,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.11,,,,,21.58,1.78,,,,,,,0.67,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.11,,,,,22.03,1.76,,,,,,,,,-3.52,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.15,,,,,19.22,1.71,,,,,,,,,,,15.52,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.14,,,,,21.07,1.73,,,,,,,,,,,,,10.96,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.16,,,,,20.53,1.70,,,,,,,,,,,,,,,-18.41,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.13,,,,,21.51,1.77,,,,,,,,,,,,,,,,,9.63,1.31,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.15,,,,,20.21,1.70,,,,,,,,,,,,,,,,,,,14.54,1.28,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.15,,,,,20.15,1.73,,,,,,,,,,,,,,,,,,,,,15.12,1.50,,,,,,,,,,,,,,,,,,,,
Science,,,0.11,,,,,21.94,1.77,,,,,,,,,,,,,,,,,,,,,,,2.65,1.28,,,,,,,,,,,,,,,,,,
Science,,,0.11,,,,,21.85,1.73,,,,,,,,,,,,,,,,,,,,,,,,,4.14,1.57,,,,,,,,,,,,,,,,
Science,,,0.15,,,,,19.97,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99,1.23,,,,,,,,,,,,,,
Science,,,0.13,,,,,20.97,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84,1.87,,,,,,,,,,,,
Science,,,0.13,,,,,20.84,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88,1.50,,,,,,,,,,
Science,,,0.15,,,,,20.85,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.10,1.31,,,,,,,,
Science,,,0.14,,,,,21.14,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89,1.52,,,,,,
Science,,,0.11,,,,,21.89,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.57,1.42,,,,
Science,,,0.11,,,,,21.78,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09,1.58,,
Science,,,0.14,,,,,21.49,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.75,4.31
Science,,,0.13,,,,,,,16.21,1.68,20.96,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.13,,,,,,,16.08,1.62,,,21.86,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.07,,,,,,,31.12,3.16,,,,,-14.30,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.07,,,,,,,17.67,1.79,,,,,,,-4.36,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.11,,,,,,,13.87,1.66,,,,,,,,,16.45,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.09,,,,,,,15.96,1.70,,,,,,,,,,,11.01,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.12,,,,,,,15.91,1.79,,,,,,,,,,,,,-19.41,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.08,,,,,,,17.19,1.87,,,,,,,,,,,,,,,9.70,1.45,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.1,,,,,,,15.44,1.69,,,,,,,,,,,,,,,,,14.69,1.30,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.11,,,,,,,15.57,1.74,,,,,,,,,,,,,,,,,,,15.80,1.54,,,,,,,,,,,,,,,,,,,,
Science,,,0.06,,,,,,,17.46,1.83,,,,,,,,,,,,,,,,,,,,,2.25,1.39,,,,,,,,,,,,,,,,,,
Science,,,0.07,,,,,,,17.57,1.76,,,,,,,,,,,,,,,,,,,,,,,3.50,1.62,,,,,,,,,,,,,,,,
Science,,,0.1,,,,,,,14.91,1.73,,,,,,,,,,,,,,,,,,,,,,,,,13.26,1.28,,,,,,,,,,,,,,
Science,,,0.08,,,,,,,16.18,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,11.88,1.91,,,,,,,,,,,,
Science,,,0.09,,,,,,,16.16,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,1.58,,,,,,,,,,
Science,,,0.1,,,,,,,16.01,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.22,1.37,,,,,,,,
Science,,,0.09,,,,,,,16.15,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.08,1.52,,,,,,
Science,,,0.07,,,,,,,17.63,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.80,1.53,,,,
Science,,,0.07,,,,,,,17.38,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.90,1.66,,
Science,,,0.09,,,,,,,16.53,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.82,4.47
Science,,,0.12,,,,,,,,,17.47,1.45,19.79,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.1,,,,,,,,,21.90,1.46,,,11.10,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.07,,,,,,,,,22.18,1.59,,,,,-2.51,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.13,,,,,,,,,20.41,1.54,,,,,,,17.88,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.1,,,,,,,,,21.84,1.56,,,,,,,,,12.64,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.12,,,,,,,,,20.37,1.45,,,,,,,,,,,-19.50,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.09,,,,,,,,,21.83,1.59,,,,,,,,,,,,,11.26,1.50,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.12,,,,,,,,,21.25,1.43,,,,,,,,,,,,,,,16.20,1.38,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.12,,,,,,,,,21.50,1.43,,,,,,,,,,,,,,,,,17.52,1.65,,,,,,,,,,,,,,,,,,,,
Science,,,0.07,,,,,,,,,22.32,1.59,,,,,,,,,,,,,,,,,,,3.57,1.50,,,,,,,,,,,,,,,,,,
Science,,,0.07,,,,,,,,,22.31,1.52,,,,,,,,,,,,,,,,,,,,,4.17,1.74,,,,,,,,,,,,,,,,
Science,,,0.12,,,,,,,,,21.49,1.51,,,,,,,,,,,,,,,,,,,,,,,15.09,1.31,,,,,,,,,,,,,,
Science,,,0.1,,,,,,,,,22.08,1.51,,,,,,,,,,,,,,,,,,,,,,,,,14.11,2.01,,,,,,,,,,,,
Science,,,0.1,,,,,,,,,21.92,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,14.89,1.64,,,,,,,,,,
Science,,,0.11,,,,,,,,,21.27,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.79,1.43,,,,,,,,
Science,,,0.1,,,,,,,,,22.17,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.46,1.48,,,,,,
Science,,,0.07,,,,,,,,,22.17,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.21,1.56,,,,
Science,,,0.08,,,,,,,,,22.27,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99,1.79,,
Science,,,0.09,,,,,,,,,20.92,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18,4.49
Science,,,0.11,,,,,,,,,,,22.70,1.29,10.49,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.08,,,,,,,,,,,23.59,1.35,,,-2.69,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.14,,,,,,,,,,,22.69,1.39,,,,,17.83,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.11,,,,,,,,,,,23.15,1.38,,,,,,,13.10,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.13,,,,,,,,,,,21.89,1.34,,,,,,,,,-18.78,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.1,,,,,,,,,,,23.89,1.34,,,,,,,,,,,11.31,1.44,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.13,,,,,,,,,,,23.28,1.27,,,,,,,,,,,,,16.28,1.35,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.13,,,,,,,,,,,23.60,1.30,,,,,,,,,,,,,,,17.24,1.63,,,,,,,,,,,,,,,,,,,,
Science,,,0.08,,,,,,,,,,,23.86,1.34,,,,,,,,,,,,,,,,,3.35,1.44,,,,,,,,,,,,,,,,,,
Science,,,0.08,,,,,,,,,,,23.98,1.33,,,,,,,,,,,,,,,,,,,3.77,1.63,,,,,,,,,,,,,,,,
Science,,,0.13,,,,,,,,,,,23.20,1.34,,,,,,,,,,,,,,,,,,,,,15.25,1.29,,,,,,,,,,,,,,
Science,,,0.11,,,,,,,,,,,23.65,1.34,,,,,,,,,,,,,,,,,,,,,,,14.03,1.92,,,,,,,,,,,,
Science,,,0.11,,,,,,,,,,,23.56,1.33,,,,,,,,,,,,,,,,,,,,,,,,,15.24,1.58,,,,,,,,,,
Science,,,0.12,,,,,,,,,,,23.23,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66,1.35,,,,,,,,
Science,,,0.11,,,,,,,,,,,24.09,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.40,1.50,,,,,,
Science,,,0.08,,,,,,,,,,,23.78,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.42,1.52,,,,
Science,,,0.09,,,,,,,,,,,24.02,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,1.69,,
Science,,,0.1,,,,,,,,,,,22.59,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.53,4.46
Science,,,0.04,,,,,,,,,,,,,12.08,1.67,-4.38,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.09,,,,,,,,,,,,,8.77,1.54,,,17.91,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.06,,,,,,,,,,,,,10.19,1.56,,,,,11.84,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.09,,,,,,,,,,,,,10.49,1.69,,,,,,,-20.43,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.05,,,,,,,,,,,,,11.65,1.72,,,,,,,,,10.26,1.48,,,,,,,,,,,,,,,,,,,,,,,,
Science,,,0.08,,,,,,,,,,,,,10.00,1.55,,,,,,,,,,,15.69,1.31,,,,,,,,,,,,,,,,,,,,,,
